Character,Middle Chinese,Cantonese,Mandarin
犬,khwen2,hyun2,quan3
馬,mæ2,maa5,ma3
西,sej1,sai1,xi1
車,tshyæ1,ce1,che1
車,kjo1,geoi1,ju1
酉,yuw2,jau5,you3
月,ngjwot4,jyut6,yue4
愛,ʔoj3,oi3,ai4
間,kɛn1,gaan1,jian1
間,kɛn3,gaan3,jian4
青,tsheng1,ceng1,qing1
赤,tshyek4,cek3,chi4
秋,tshjuw1,cau1,qiu1
朝,trjew1,ziu1,zhao1
朝,drjew1,ciu4,chao2
蟻,ngje2,ngai5,yi3
狗,kuw2,gau2,gou3
人,nyin1,jan4,ren2
水,sywij2,seoi2,shui3
蛇,zyæ1,se4,she2
蛇,ye1,ji4,yi2
米,mej2,mai5,mi3
零,leng1,ling4,ling2
零,len1,lin4,lian2
漢,xan3,hon3,han4
疒,dzrjang1,cong4,chuang2
魔,mwa1,mo1,mo2
城,dzyieng1,sing4,cheng2
僕,buwk4,buk6,pu2
君,kjun1,gwan1,jun1
今,kim1,gam1,jin1
一,ʔit4,jat1,yi1
損,swon2,syun2,sun3
空,khuwng1,hung1,kong1
空,khuwng3,hung1,kong4
底,tej2,dai2,di3
象,zjang2,zoeng6,xiang4
層,dzong1,cang4,ceng2
士,dzri2,si6,shi4
千,tshen1,cin1,qian1
百,pæk4,baak3,bai3
十,dzyip4,sap6,shi2
億,ʔik4,jik1,yi4
丨,kwon2,gwan2,gun3
丶,trju2,zyu2,zhu3
丿,phet4,pit3,pie3
乙,ʔit4,jyut3,yi3
亅,gjwot4,kyut3,jue2
二,nyij3,ji6,er4
入,nyip4,jap6,ru4
八,pɛt4,baat3,ba1
冂,mek4,gwing1,jiong1
冫,ping1,bing1,bing1
丁,teng1,ding1,ding1
丁,trɛng1,zaang1,zheng1
村,tshwon1,cyun1,cun1
紋,mjun1,man4,wen2
激,kek4,gik1,ji1
界,kɛj3,gaai3,jie4
章,tsyang1,zoeng1,zhang1
編,pen1,pin1,bian1
神,zyin1,san4,shen2
三,sam1,saam1,san1
三,sam3,saam3,san1
四,sij3,sei3,si4
五,ngu2,ng5,wu3
六,ljuwk4,luk6,liu4
七,tshit4,cat1,qi1
九,kjuw2,gau2,jiu3
万,mjwon3,mak6,mo4
最,tswaj3,zeoi3,zui4
近,gjɨn2,kan5,jin4
烈,ljet4,lit6,lie4
造,dzaw2,zou6,zao4
造,tshaw3,cou3,zao4
刀,taw1,dou1,dao1
萬,mjwon3,maan6,wan4
何,ha1,ho4,he2
何,ha2,ho6,he4
心,sim1,sam1,xin1
日,nyit4,jat6,ri4
白,bæk4,baak6,bai2
年,nen1,nin4,nian2
曜,yew3,jiu6,yao4
南,nom1,naam4,nan2
東,tuwng1,dung1,dong1
北,pok4,bak1,bei3
文,mjun1,man4,wen2
森,srim1,sam1,sen1
酒,tsjuw2,zau2,jiu3
火,xwa2,fo2,huo3
柄,pjæng3,beng3,bing3
中,trjuwng1,zung1,zhong1
中,trjuwng3,zung3,zhong4
雨,hju2,jyu5,yu3
雨,hju3,jyu6,yu4
㐁,thom3,tim2,tian4
㐆,ʔjɨj1,zaan2,yin3
㐲,daj3,daai6,dai4
㑁,trwit4,zyut3,zhuo1
㑉,sjuwk4,cuk1,su4
㑗,syin1,saan1,shen1
㑙,tep4,dip6,die2
㑛,suwk4,cuk1,su4
㑜,yej3,zaai6,yi4
