Middle Chinese,Predicted Initial Mandarin
b,"{'p', 'b', 'j'}"
p,{'p'}
m,"{'m', '∅', 'j'}"
f,"{'h', 'f', 'j', '∅', 'k', 'x'}"
d,"{'d', 't', '∅', 'zh'}"
t,"{'d', 't'}"
n,{'n'}
l,{'l'}
g,"{'g', 'q', '∅', 'j'}"
k,"{'q', 'j', 'g', 'k', 'x'}"
ng,"{'g', 'q', '∅', 'l'}"
h,"{'h', 'q', 'j', '∅', 'k', 'x'}"
gw,"{'g', 'k', 'j'}"
kw,"{'q', 'k'}"
w,"{'l', 'h', 'q', 'j', 's', '∅', 'r', 'k', 'x'}"
z,"{'d', 'j', 'ch', 'c', 'sh', 's', '∅', 'z', 'x', 'zh'}"
c,"{'k', 'd', 'q', 'j', 'ch', 'c', 'sh', 'z', 'x', 'zh'}"
s,"{'q', 'ch', 'sh', 's', 'r', 'x', 'zh'}"
j,"{'h', 'q', 'm', 'sh', '∅', 'r', 'x'}"
∅,{'∅'}
