Cantonese,Predicted Initial Mandarin
b,"{'p', 'b'}"
p,"{'b', 'p'}"
m,"{'m', 'b', '∅'}"
f,"{'p', 'h', 'f', 'k', 'x'}"
d,"{'d', 't', 'zh'}"
t,"{'d', 't'}"
n,"{'r', 'n', '∅'}"
l,"{'n', 'l'}"
g,"{'g', 'k', 'x', 'j'}"
k,"{'q', 'k', 'j'}"
ng,"{'h', 'n', '∅'}"
h,"{'h', 'k', 'x', 'q'}"
gw,"{'g', 'h', 'j'}"
kw,"{'g', 'k', 'x', 'j'}"
w,"{'g', 'h', '∅'}"
z,"{'h', 'q', 'j', 'ch', 'sh', '∅', 's', 'z', 'x', 'zh'}"
c,"{'q', 'j', 'ch', 'c', 's', 'z', 'x', 'zh'}"
s,"{'ch', 'sh', 's', 'x'}"
j,"{'r', 'q', '∅', 'x'}"
∅,{'∅'}
