Middle Chinese,Predicted Initial Cantonese
zh,"{'t', 'd', 'c', 'z', 'n'}"
ch,"{'c', 's', 'z', 'j'}"
sh,"{'h', 'z', 'c', 's', 'k'}"
b,"{'p', 'b'}"
p,"{'t', 'p'}"
m,"{'g', 'm', 'k', '∅'}"
f,"{'n', 'f'}"
d,"{'d', 't', 'z', 'h'}"
t,"{'d', 't', 's'}"
n,"{'n', 'l'}"
l,"{'w', 'n', 'l'}"
g,"{'g', 'w'}"
k,"{'w', 'h', 'f', '∅', 'k'}"
h,"{'w', 'h', 'f', 'j', 'g', 'm', 's', 'k'}"
j,"{'k', 'l', 'j', 'g', 'c', 's', 'z'}"
q,"{'h', 'j', 'g', 'c', 's', 'k'}"
x,"{'t', 'l', 'h', 'z', 'f', 'j', 'g', 'c', 's', 'k', 'n'}"
r,"{'w', 'j'}"
z,"{'z', 'c'}"
c,"{'c', 's'}"
s,"{'z', 's'}"
∅,"{'w', 'h', 'j', 'm', 'g', 'c', '∅', 'z', 'n'}"
