Middle Chinese,Predicted Initial Mandarin
b,"{'p', 'b'}"
p,"{'b', 'p', '∅'}"
m,"{'h', 'j', 'm', '∅', 'x'}"
f,"{'h', 'f', 'j', '∅', 'k', 'x'}"
d,"{'t', 'd', 'j', '∅', 'zh'}"
t,"{'t', 'd', 'ch', 'sh', 's'}"
n,{'n'}
l,"{'k', 'l'}"
g,"{'j', 'g', '∅', 'x', 'zh'}"
k,"{'q', 'j', 'g', '∅', 'k', 'x'}"
ng,"{'r', 'g', '∅', 'x'}"
h,"{'h', 'q', 'j', '∅', 'k', 'x', 'zh'}"
gw,"{'g', 'h', 'k', 'j'}"
kw,"{'h', 'q', 'k'}"
w,"{'h', 'q', '∅', 'k', 'n'}"
z,"{'d', 'q', 'j', 'ch', 'c', 'sh', 's', '∅', 'z', 'x', 'zh'}"
c,"{'k', 'l', 'q', 'j', 'ch', 'c', 'sh', 's', 'z', 'x', 'zh'}"
s,"{'h', 'q', 'ch', 'sh', 's', 'r', 'x'}"
j,"{'q', 'sh', '∅', 'r', 'n', 'x', 'zh'}"
∅,{'∅'}
