Middle Chinese,Predicted Initial Cantonese
zh,"{'z', 'c'}"
ch,"{'d', 'c', 's', 'j'}"
sh,"{'k', 'c', 's', 'z'}"
b,{'b'}
p,"{'m', 'b', 'p', 'f'}"
m,"{'m', 'k', 'f'}"
f,{'f'}
d,"{'d', 't', 'c', 's'}"
t,{'t'}
n,"{'n', 'l'}"
l,{'l'}
g,"{'g', 'k', 'w'}"
k,"{'w', 'h', 'f', 'j', '∅', 'k'}"
h,"{'w', 'h', 's', 'f'}"
j,"{'g', 'z', 'k'}"
q,"{'h', 'f', 'j', 'c', 's', 'k'}"
x,"{'w', 'h', 'z', 'f', 'j', 'g', 'c', 's', 'k'}"
r,"{'w', 'j'}"
z,"{'z', 'c'}"
c,"{'c', 's'}"
s,"{'c', 's'}"
∅,"{'w', 'j', 'm', '∅', 'n'}"
