Middle Chinese,Predicted Initial Mandarin
b,"{'p', 'b'}"
p,{'p'}
m,"{'m', '∅'}"
f,"{'h', 'f', 'j', 'k', 'x'}"
d,"{'d', 't', 'zh'}"
t,"{'d', 't', 's', 'ch'}"
n,{'n'}
l,"{'c', 'l'}"
g,"{'q', 'j', 'g', '∅', 'k', 'zh'}"
k,"{'q', 'j', 'g', 'k', 'x'}"
ng,"{'q', 'g', '∅', 'n', 'x'}"
h,"{'h', 'q', 'j', '∅', 'k', 'x'}"
gw,"{'g', 'k', 'j'}"
kw,"{'q', 'k'}"
w,"{'h', 'j', 'g', '∅', 'r', 'k'}"
z,"{'d', 'q', 'j', 'ch', 's', '∅', 'z', 'x', 'zh'}"
c,"{'q', 'j', 'ch', 'c', 'sh', 's', 'z', 'x', 'zh'}"
s,"{'q', 'ch', 'sh', 's', 'r', 'x'}"
j,"{'q', '∅', 'r', 'x', 'zh'}"
∅,{'∅'}
