correct?,Character,Mandarin,Predicted Cantonese,Actual Cantonese
o,幾,ji1,gei1,gei1
o,㞳,dou3,dau2,dau2
x,邯,han2,hon4,ham4
o,吝,lin4,leon6,leon6
x,駽,xuan1,hyun1,gyun1
x,崨,jie2,zit3,zip6
x,戲,xi4,hei1,hei3
o,浚,jun4,zeon3,zeon3
o,孖,ma1,maa1,maa1
x,㞉,za1,zaap3,zaat3
o,直,zhi2,zik6,zik6
x,毓,yu4,jyu6,juk1
o,稊,ti2,tai4,tai4
x,髺,kuo4,kaa3,kut3
o,鱄,zhuan1,zyun1,zyun1
o,跈,nian3,nin2,nin2
x,悀,yong3,jung2,jung5
o,鴜,ci2,ci4,ci4
x,陸,liu4,lau6,luk6
o,鑿,zao2,zok6,zok6
o,證,zheng4,zing3,zing3
o,㼩,cheng2,sing4,sing4
x,呚,qi4,hei3,mui4
o,墊,die2,dip6,dip6
x,隮,ji1,gei1,zai1
o,文,wen2,man4,man4
x,緪,geng1,gang1,gang2
x,瀃,si4,zi6,ci3
x,憑,ping2,ping4,pang4
o,褷,shi1,si1,si1
x,失,shi1,si1,sat1
x,瑱,tian4,tim3,tin3
o,雵,yang1,joeng1,joeng1
x,彧,yu4,jyu6,juk1
o,忠,zhong1,zung1,zung1
x,䵾,fu2,fu1,fu4
x,㜞,qian4,hin3,cam4
o,䬞,tao2,tou4,tou4
o,齍,zi1,zi1,zi1
x,瞐,mo4,mak6,mok6
o,嚎,hao2,hou4,hou4
o,列,lie4,lit6,lit6
o,鍾,zhong1,zung1,zung1
o,幌,huang3,fong2,fong2
x,謚,shi4,si6,si3
x,薇,wei1,wai1,mei4
x,荏,ren3,jan5,jam5
o,墽,qiao1,hiu1,hiu1
o,首,shou3,sau2,sau2
x,律,lü4,leoi6,leot6
o,䑔,fei4,fai3,fai3
x,洂,ye4,jip6,jik6
o,煌,huang2,wong4,wong4
x,鵠,hu2,wu4,huk6
x,嬟,yi4,jik6,ji6
x,㕒,wei1,wai1,faai1
o,榴,liu2,lau4,lau4
x,䵢,mei4,mei6,maa3
o,蓳,jin3,gan2,gan2
o,琊,ya2,naa4,naa4
x,㲯,ran2,jin4,zim4
o,逮,di4,dai6,dai6
x,顖,xin4,san3,seon2
o,涽,hun1,fan1,fan1
o,倵,wu3,mou5,mou5
o,披,pi1,pei1,pei1
x,猈,ba4,baa3,baa6
o,頹,tui2,teoi4,teoi4
x,揀,jian3,gin2,gaan2
x,損,sun3,seon2,syun2
x,龠,yue4,jyut6,joek6
o,憨,han1,ham1,ham1
o,偟,huang2,wong4,wong4
o,韁,jiang1,goeng1,goeng1
x,𠙶,ou3,naa5,au2
x,篤,du3,dou2,duk1
o,鴽,ru2,jyu4,jyu4
x,悒,yi4,jik6,jap1
o,䴌,meng2,mung4,mung4
x,誂,diao4,diu6,diu3
o,瑿,yi1,ji1,ji1
o,蘺,li2,lei4,lei4
o,抏,wan2,jyun4,jyun4
x,翜,sha4,saa3,saap3
o,誡,jie4,gaai3,gaai3
o,藐,miao3,miu5,miu5
x,䠐,qu4,geoi3,kaa1
o,朗,lang3,long5,long5
x,沕,wu4,maa6,mat6
o,眷,juan4,gyun3,gyun3
o,揣,tuan2,tyun4,tyun4
o,揲,she2,sit6,sit6
x,媝,qiu1,jau1,cau1
x,犼,hou3,hau2,hau3
x,淴,hu1,fu1,fat1
x,澋,hong4,hung6,wang6
x,猰,ya4,aa3,jaak3
x,榙,ta1,taa3,daap6
x,㚆,fu4,fu6,fuk6
o,法,fa3,faat3,faat3
x,瀧,shuang1,song1,soeng1
x,昨,zuo2,zok6,zok3
o,粵,yue4,jyut6,jyut6
x,鶒,chi4,ci3,cik1
x,墅,shu4,syu3,seoi5
x,𡈊,zhi2,zik6,zap1
x,泏,zhu2,zuk1,zeot1
o,掗,ya4,aa3,aa3
o,轗,kan3,ham2,ham2
o,楂,zha1,zaa1,zaa1
x,蕝,jue2,kyut3,zyut3
o,瓬,fang3,fong2,fong2
o,伶,ling2,ling4,ling4
x,懆,cao3,cou2,cou3
x,謱,lou2,lau4,lou4
o,妙,miao4,miu6,miu6
x,洵,xuan4,jyun3,hyun3
o,傱,song3,sung2,sung2
o,瞟,piao3,piu5,piu5
