Middle Chinese,Predicted Initial Cantonese
zh,"{'t', 'z', 'c'}"
ch,"{'c', 's', 'j'}"
sh,"{'k', 'h', 'j', 'c', 's', 'z'}"
b,"{'p', 'b'}"
p,"{'m', 'b', 'p', 'f'}"
m,"{'m', 'h', 'w'}"
f,"{'n', 'f'}"
d,"{'d', 't', 'j'}"
t,"{'d', 't'}"
n,"{'n', 'l', 'j'}"
l,"{'n', 'l'}"
g,"{'g', 'k', 'w'}"
k,"{'w', 'h', 'f', '∅', 'k'}"
h,"{'w', 'h', 'd', 'f', 'm', 'k'}"
j,"{'k', 'f', 'j', 'g', 'c', 's', 'z'}"
q,"{'h', 'j', 'c', 's', 'k'}"
x,"{'l', 'h', 'z', 'f', 'j', 'g', 'c', 's', 'k', 'n'}"
r,"{'w', 'j'}"
z,"{'z', 'c'}"
c,{'c'}
s,"{'c', 's'}"
∅,"{'w', 'h', 'j', 'm', '∅', 'z', 'n'}"
