Middle Chinese,Predicted Initial Mandarin
b,"{'p', 'b'}"
p,"{'b', 'p'}"
m,"{'h', 'j', 'm', '∅', 'x'}"
f,"{'p', 'h', 'f', 'j', '∅', 'k', 'x'}"
d,"{'d', 't', '∅', 'zh'}"
t,"{'d', 't', 's', 'ch'}"
n,{'n'}
l,{'l'}
g,"{'g', 'q', '∅', 'j'}"
k,"{'q', 'j', 'g', 'k', 'x'}"
ng,"{'r', 'g', 'q', '∅'}"
h,"{'h', 'q', 'j', '∅', 'k', 'x', 'zh'}"
gw,"{'g', 'h', 'k', 'j'}"
kw,"{'h', 'q', 'k'}"
w,"{'h', 'j', '∅', 'r', 'k', 'x'}"
z,"{'d', 'q', 'j', 'ch', 'c', 's', '∅', 'z', 'x', 'zh'}"
c,"{'q', 'j', 'ch', 'c', 'sh', 's', 'z', 'x', 'zh'}"
s,"{'h', 'q', 'ch', 'sh', 's', 'r', 'z', 'x'}"
j,"{'q', '∅', 'r', 'x', 'zh'}"
∅,{'∅'}
