Middle Chinese,Predicted Initial Mandarin
b,"{'b', 'p'}"
p,"{'b', 'p'}"
m,"{'∅', 'n', 'm', 'j'}"
f,"{'k', 'f', 'x', '∅', 'h'}"
d,"{'zh', 'd', 't'}"
t,"{'d', 's', 't', 'x', '∅'}"
n,{'n'}
l,"{'l', 'h'}"
g,"{'q', 'zh', 'j', 'k', '∅', 'g'}"
k,"{'x', 'k', 'q', 'j'}"
ng,"{'∅', 'n', 'x', 'g'}"
h,"{'q', 'zh', 'k', 'j', 'x', '∅', 'h'}"
gw,"{'j', 'k', '∅', 'g', 'h'}"
kw,"{'k', 'h'}"
w,"{'r', 'j', 'k', '∅', 'h'}"
z,"{'z', 'q', 'd', 's', 'zh', 'j', 'c', 'x', '∅'}"
c,"{'q', 's', 'j', 'zh', 'c', 'x', 'sh', 'ch', 'g'}"
s,"{'q', 's', 'zh', 'sh', 'x', 'ch'}"
j,"{'r', 'q', 'zh', 'x', '∅'}"
∅,{'∅'}
